date,time,Fuso horário,format,text,favorite,date_utc,time_utc,notes,details
10-12-2024,07:45:34,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907959920325|20240928131659|69.46||QOeEaBdkGMFrqwbtAVWhgMJYzfSJNYQMZU7dVj0GMSyms5CYKSpkmSeaiQWC6DDoXNu5nztuoFMa52GOApsbxRe5YG8d41OErUXcBZANU9bIWGeWanNt2apsBBUFhBgJ1CUXmnxgyfL0RazuMlFqzS1WuQ1qP/yhTHSityvi0k7qjwenL/A6bFMWHOaZCZWjqT7ShipPK9oKaTqyLP8VPC6kv/6Let9cGq1gdmHXTIclA2LdstM/kYOZ4cWzW6XiySaKpAcKq1Qd3gm6s0AEFn,0,10-12-2024,07:45:34,,
10-12-2024,07:45:23,Horário Padrão de Brasília,EAN_13,6174229887828,0,10-12-2024,07:45:23,,
10-12-2024,07:45:13,Horário Padrão de Brasília,UPC_E,10380475,0,10-12-2024,07:45:13,,
10-12-2024,07:45:08,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907907098098|20240928130523|12.00||m1AZqu4FyNTW2VOoneyijhymBqs4ffMdT8heHUfaIgE40zVP6z7JEM3esE530D7iHA9y4n9oaOuFS4dMQmAz/YkBb8m747ga8K8yBXX/N4Bg8rcVn4HKWyIMkOFdX5gUSHZcDKNIOLs7JBCdoMeE7tZJ8C7ToI4ZRtv33,0,10-12-2024,07:45:08,,
10-12-2024,07:44:57,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907896468676|20240928130451|20.00||cvh0h3deMLWOK3GUovO2Fh68UJWJlExbd5nc/FpA9/j,0,10-12-2024,07:44:57,,
10-12-2024,07:44:49,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907882353502|20240928130345|73.36||CLO5UEF1TFUqKZYjVoTrTqdG0NKcnL7dp4nzTHrAVbXhCDdaTAMSCWj5TG3kQ7S3cj8fNc9HDPBK1HaEFLMjWB9pbzbaEOWNLYI4kI0ozv2W58Zu7gWLQTvJV6aJOKor8PJxE5jos56i9ZkC2vty93xa5NRsu/cyOe,0,10-12-2024,07:44:49,,
10-12-2024,07:44:43,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531908093745141|20240928140755|119.52||B9mdqhe1EDAzPWt43MfIfWDwjXnOyY5yfYwV/jQow2lZKkVodgFs6nf8WeyICpG3mBBlZAOZi4GE5h217k5SnrL7euMjrSTTphhlulM5Oom5XjL1hXsJQpOBBSCiYIehC7N0Skc2pQgpFFtS1czwjrCu7vVzK6XZPmjc2SO6G56kGl5EyeGaeiexmGgsxmKgQ2NHk0IpbTzfkxqxAFG/BbmnGlZU5I2r6zXUNrPgwIEoF,0,10-12-2024,07:44:43,,
10-12-2024,07:44:40,Horário Padrão de Brasília,EAN_13,1596023763767,0,10-12-2024,07:44:40,,
10-12-2024,07:44:35,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531908022915494|20240928134416|6.00||vIAELZJKnHXI8ZLG5rU7nBU62Bq0Drd1Ei/m7G5vEutpnekgDEJWheoU6RzDRftPznZ3wrN/TsFAWJEUEwLMEhnV,0,10-12-2024,07:44:35,,
10-12-2024,07:44:22,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531908039828484|20240928135425|164.17||f4O5ITPL4wq0GHbAhEKYiqPYAB6mwCtb1pxOETdgh5iB1GPLgTBU6ziA/6elPVJyufs8mBBIYxjvsEVUaoJ4evDq,0,10-12-2024,07:44:22,,
10-12-2024,07:44:16,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531908061888869|20240928135904|57.36||vH5,0,10-12-2024,07:44:16,,
10-12-2024,07:44:11,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531908087443082|20240928140246|60.00||SHdYG/d6ZwxGajaKTBZO6Agb9tlUWn2pPmJflfEUel7ELyAIB5gQhpvWTOfnSxCYvXWKYgm/vaqULGQX/VK6AFYN3G6Jtx/IkJs6XX2oz0vYnW1ylelP1wEvI97oyzhvst2mdUgGh9,0,10-12-2024,07:44:11,,
10-12-2024,07:44:03,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907874547662|20240928130154|23.00||HW6xNHVvm/yBeJ1UoSQTQIZs03cKFOpV6nBcB5yVvk9LtPmxvEY8LJaOGHk4J3l0FKyEE6RQjbFyYAKGdsLvZwF2qb02KWo8rigt1i5GR,0,10-12-2024,07:44:03,,
10-12-2024,07:43:47,Horário Padrão de Brasília,EAN_13,1125186266787,0,10-12-2024,07:43:47,,
10-12-2024,07:43:33,Horário Padrão de Brasília,EAN_13,3917311371651,0,10-12-2024,07:43:33,,
10-12-2024,07:43:24,Horário Padrão de Brasília,CODE_128,35240943017003000140590011359531858093740641,0,10-12-2024,07:43:24,,
10-12-2024,07:43:16,Horário Padrão de Brasília,EAN_13,3548871878887,0,10-12-2024,07:43:16,,
10-12-2024,07:43:06,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531908107722585|20240928142504|46.35||nk5ZObP2tKj,0,10-12-2024,07:43:06,,
10-12-2024,07:42:58,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531908113168241|20240928142807|25.90||hXZ/mtrCETddimiJaBbED7MbUE/2KOVFb2Wy2R,0,10-12-2024,07:42:58,,
10-12-2024,07:42:46,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531908151499659|20240928143526|15.00||U5Ee4rHGEGWdpf1mkQN9l3q6dUWacZLzQMEbi2PMkDiT2SYAX8OXF0RC49GlGnSCsNCEZio6KnEtwnbekrHnEDC7RZ49ulvJSDj/zF,0,10-12-2024,07:42:46,,
10-12-2024,07:42:39,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531908197419020|20240928144157|242.50||cTEsgGpsmojj5zmOKsiJ/vyElpdnUO7JgBoiJIehHmA1Nxrt41v6cbJyQSwBZB9jstAY3f1a2TXWJycRCs7tJy2nga4rpnj2pg8dGUqlyccqv6SnfrwpEeQ,0,10-12-2024,07:42:39,,
10-12-2024,07:42:35,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531908248951564|20240928145032|24.00||LDyDihMkAtz8p1LCBRg3LhYIRtyL81C21CGOTRnKugBh7moVg5uqRRpeTDD4OIdQaQtku1oUZigulxQj8//uXKCx5R45Gu0WpYhQlsv6K4M5VOtfYnx8E,0,10-12-2024,07:42:35,,
10-12-2024,07:42:31,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531908257088911|20240928145123|60.00||x4OespNR2Z3kKQmnYxAjCT0xtcECsslCU6wagyCtvvkA/ADNGAjQjGOllGjw9QGiugaT6yhw9wrrklJ18wAk6Iv4G9qoPt1Uk1t7TLekmMvmzKHG0gwa633rB3,0,10-12-2024,07:42:31,,
10-12-2024,07:42:25,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531908338866299|20240928152101|183.30||tf9HpbQ1ZzaDIfReNssLZPg4Cb25kf7duCt5/RHMcftn6T1RDEAIRd5YbK18RrahdFncBpFK8O/JolRcDudiI64jVHhIKoYNMlWkWp/lH,0,10-12-2024,07:42:25,,
10-12-2024,07:42:22,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531908360523110|20240928153220|5.00||OoixdGD0sQtXS,0,10-12-2024,07:42:22,,
10-12-2024,07:42:18,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531908354009915|20240928152952|7.50||HF0BtcNwK6KZXCDRLTeUD5RQi57LXPy878T3aayTHnwVJvQrEnbcBUXD1LW4YLp,0,10-12-2024,07:42:18,,
10-12-2024,07:42:06,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531908372103995|20240928153517|23.00||YODMHkLtUGhir3u0Xl1CKrdeHEHRwWXT/CxfNZB5CEy1Ou,0,10-12-2024,07:42:06,,
10-12-2024,07:42:00,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531908385965362|20240928153914|134.82||a3dz6,0,10-12-2024,07:42:00,,
10-12-2024,07:41:57,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531908393265587|20240928155134|6.50||tdVw2hfwhOPbj7CtahMc6ML8g,0,10-12-2024,07:41:57,,
10-12-2024,07:41:48,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531908450439062|20240928155526|8.00||A43O0PttmxvYBQ3PhBLjIJhfyAxmBXwbVwLMglOG0c0ZmzMxTk566N90Rll7x55UiIHX3UX1FvX8BC5CNMy,0,10-12-2024,07:41:48,,
10-12-2024,07:41:43,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531908508306140|20240928160058|28.68||Z8i7R4L6h/NShQ/zTCeuSznUKNx7TcNdJ/nTjUx5Hr,0,10-12-2024,07:41:43,,
10-12-2024,07:41:37,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531908519807235|20240928160152|28.68||zJeQbBm1rl7EJaCvtqK1K1PPymZyM50UpL6D,0,10-12-2024,07:41:37,,
10-12-2024,07:41:33,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531908526457325|20240928160402|8.00||MXymmZfXGtMfiZevlmKO73uiR2PTDDL6tjaYjY0jcxqav,0,10-12-2024,07:41:33,,
10-12-2024,07:41:27,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531908581116453|20240928161343|2.50||WY9cx0C/58OXG5xsHEw8aZZcaPR3Lj6X4A1ignsK/uKQmzs0yZ,0,10-12-2024,07:41:27,,
10-12-2024,07:41:20,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531908700917225|20240928165045|12.25||uNRxuXen63Y/WL9JAsS0LBJaneZ3ftMRwR2RqDyF1RrVHq1pJqizpp6Hxu,0,10-12-2024,07:41:20,,
10-12-2024,07:41:17,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531908738180386|20240928165708|23.00||C4DQTc77o/ayvjF,0,10-12-2024,07:41:17,,
10-12-2024,07:41:13,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531908776673211|20240928170329|62.16||Mx6tXh75zrZDyAM,0,10-12-2024,07:41:13,,
